Trap ID,Location,Species,Heights
E-1-1-C,UL,ACRU,4
E-1-1-C,UL,SAAL,10
E-1-3-C,LL,ACRU,23
E-1-3-C,LL,SAAL,15
E-1-3-C,UL,ACRU,8
E-1-3-C,UL,SAAL,40
E-1-3-C,UR,ACRU,5
E-2-11-C,LL,ACRU,17
E-2-11-C,LL,SAAL,9
E-2-11-C,LR,ACRU,5
E-2-11-C,UL,ACRU,9
E-2-11-C,UL,ACRU,9
E-2-11-C,UL,ACRU,1
E-2-11-C,UL,ACRU,3
E-2-11-C,UR,ACRU,11
E-2-11-C,UR,ACRU,4
E-2-11-C,UR,ACRU,6
E-2-11-C,UR,ACRU,12
E-2-11-T,UL,ACRU,7
E-2-1-C,LL,SAAL,8
E-2-1-C,LR,ACRU,4
E-2-1-C,LR,SAAL,4
E-2-1-C,LR,SAAL,20
E-2-1-C,LR,QUSP,10
E-2-1-C,UL,ACRU,4
E-2-1-C,UL,ACRU,7
E-2-2-C,LL,SAAL,15
E-2-2-C,LL,SAAL,23
E-2-2-C,LR,ACRU,10
E-2-2-C,LR,ACRU,9
E-2-2-C,LR,SAAL,12
E-2-2-C,UL,ACRU,6
E-2-2-C,UL,SAAL,21
E-2-2-C,UR,ACRU,10
E-2-2-C,UR,SAAL,20
E-2-2-C,UR,SAAL,15
E-2-5-C,LL,SAAL,24
E-2-5-C,UR,SAAL,4
E-2-8-C,LL,ACRU,18
E-2-8-C,LL,ACRU,1
E-2-8-C,LL,ACRU,6
E-2-8-C,LL,ACRU,1
E-2-8-C,LR,ACRU,3
E-2-8-C,LR,ACRU,8
E-2-8-C,LR,ACRU,12
E-2-8-C,LR,ACRU,7
E-2-8-C,LR,ACRU,4
E-2-8-C,UL,ACRU,9
E-2-8-C,UL,ACRU,9
E-2-8-C,UL,ACRU,11
E-2-8-C,UL,SAAL,13
E-2-8-C,UR,ACRU,6
E-2-8-C,UR,ACRU,8
E-3-10-C,LL,ACRU,6
E-3-10-C,LL,SAAL,6
E-3-10-C,LL,SAAL,4
E-3-10-C,LL,ACPL,6
E-3-10-C,LR,ACRU,9
E-3-10-C,LR,SAAL,5.5
E-3-10-C,LR,SAAL,4.5
E-3-10-C,UL,ACRU,8
E-3-10-C,UL,ACRU,3
E-3-11-C,LL,ACRU,4.5
E-3-11-C,LL,SAAL,7.5
E-3-11-C,LL,SAAL,8
E-3-11-C,LL,SAAL,10
E-3-11-C,LL,SAAL,8
E-3-11-C,LL,ACPL,8
E-3-11-C,LR,ACPL,7
E-3-11-C,UL,ACRU,6
E-3-11-C,UL,ACRU,3
E-3-11-C,UL,SAAL,6
E-3-11-C,UL,,0
E-3-11-C,UR,ACRU,8.5
E-3-11-C,UR,ACRU,5
E-3-11-C,UR,ACRU,4
E-3-11-C,UR,ACRU,6
E-3-11-C,UR,ACRU,5.5
E-3-11-C,UR,ACRU,4.5
E-3-11-C,UR,SAAL,6.5
E-3-11-C,UR,SAAL,16
E-3-12-C,LL,ACRU,4
E-3-12-C,LR,ACRU,6.5
E-3-12-C,LR,ACRU,13
E-3-12-C,LR,ACRU,5
E-3-12-C,LR,ACRU,9
E-3-12-C,UR,ACRU,7
E-3-12-C,UR,ACPL,11
E-3-12-T,UR,ACRU,7.2
E-3-12-T,UR,ACRU,12.8
E-3-19-C,LL,ACRU,9
E-3-19-C,LL,ACRU,6
E-3-19-C,LL,ACRU,8.5
E-3-19-C,LL,ACRU,11.5
E-3-19-C,LL,ACRU,19
E-3-19-C,LL,ACRU,7
E-3-19-C,LR,ACRU,8.5
E-3-19-C,UL,ACRU,6
E-3-19-C,UL,ACRU,7
E-3-19-C,UL,SAAL,20
E-3-19-C,UL,SAAL,19.5
E-3-19-C,UL,SAAL,15
E-3-19-C,UR,ACRU,10
E-3-19-C,UR,SAAL,20
E-3-1-C,UR,ACRU,6
E-3-1-C,UR,ACRU,6
E-3-1-C,UR,SAAL,6
E-3-20-C,LR,ACRU,5
E-3-20-C,LR,ACRU,6
E-3-20-C,UL,ACRU,3
E-3-20-C,UL,ACRU,2
E-3-20-C,UL,ACRU,15
E-3-20-C,UL,ACRU,4
E-3-20-C,UR,ACRU,6
E-3-20-C,UR,ACRU,8
E-3-20-C,UR,ACRU,11
E-3-20-C,UR,ACRU,10
E-3-20-C,UR,ACRU,11
E-3-20-C,UR,ACRU,3
E-3-20-C,UR,SAAL,12
E-3-20-T,LL,ACRU,14
E-3-21-C,LL,ACRU,14
E-3-21-C,LL,ACRU,5
E-3-21-C,LR,ACRU,14
E-3-21-C,LR,ACRU,14
E-3-21-C,LR,ACRU,10
E-3-21-C,LR,ACRU,10
E-3-21-C,LR,ACRU,8
E-3-21-C,LR,ACRU,9
E-3-21-C,LR,SAAL,15
E-3-21-C,UL,ACRU,6.5
E-3-21-C,UL,ACRU,10
E-3-21-C,UL,ACRU,19
E-3-21-C,UL,SAAL,10.5
E-3-21-C,UL,ACRU,7
E-3-21-C,UR,ACRU,10.5
E-3-21-C,UR,ACRU,11
E-3-21-C,UR,ACRU,3
E-3-21-C,UR,ACRU,15
E-3-21-C,UR,ACRU,10
E-3-21-T,LL,ACRU,9.5
E-3-21-T,UL,ACRU,11.5
E-3-22-C,LL,ACRU,10
E-3-22-C,LL,ACRU,6
E-3-22-C,LL,ACRU,7
