Plot,Species.diversity,DBH.6.div,Height.3.diversity,Above.ground.carbon
1,0.66365025,2.664456242,1.127496852,2.773194764
2,0.172044864,2.339646852,2.054433211,3.525421487
3,0.637628152,2.117000017,1.552707219,4.854955811
4,0.017249019,0.697676326,1.040810774,1.648721271
5,0.162025751,0.571209064,0.852143789,1.733253018
6,0.36421898,1.296930087,1.840431399,2.225540928
7,1.246076731,0.115325121,0.034047455,0.197898699
8,1.616074402,0.886920437,0.726149037,0.220909978
9,1.63231622,0.886920437,0.726149037,0.220909978
10,0.810584246,0.748263568,0.286504797,0.631283646
11,0.172044864,0.418951549,0.794533603,0.157237166
12,0.104350485,0.264477261,1.27124915,0.565525439
13,0.852143789,2.664456242,1.521961556,1.954237321
14,1.665291195,1.462284589,1.27124915,1.419067549
15,0.990049834,1.993715533,1.896480879,1.840431399
16,2.013752707,1.161834243,0.941764534,1.221402758
17,1.858928042,1.138828383,3.387187734,3.387187734
18,0.582748252,2.054433211,1.552707219,2.559981418
19,1.506817785,1.786038431,1.552707219,1.537257524
20,0.990049834,1.138828383,1.323129812,1.336427488
21,2.718281828,0.733446956,1,0.188247066
22,0.34645581,2.886370989,1.877610579,2.386910854
23,2.013752707,0.763379494,0.58860497,0.923116346
24,0.786627861,1.094174284,1.02020134,1.648721271
25,4.664590271,0.386741023,0.019254702,0.249075305
26,0.339595526,0.543350869,0.778800783,1.138828383
27,1.363425114,0.886920437,0.477113916,0.379083038
28,0.313486181,1.072508181,0.810584246,0.477113916
29,1.390968128,0.115325121,0.852143789,0.109700649
30,0.244143283,0.272531793,0.259240261,0.748263568
31,1.072508181,0.084584859,0.313486181,0.032712435
32,0.172044864,0.017077389,1.698932309,0.548811636
33,1.993715533,0.748263568,0.571209064,0.923116346
34,0.157237166,2.316366977,2.054433211,3.525421487
35,0.444858066,0.065874754,1.173510871,0.423162082
36,3.781043388,0.336216494,0.014995577,0.201896518
37,0.941764534,0.120031629,0.032064685,0.19013898
38,1.209249598,0.110803158,1.349858808,0.323033256
39,0.162025751,0.554327285,0.66365025,1.698932309
40,0.618783392,1.072508181,1.02020134,1.63231622
41,2.585709659,1.23367806,1.150273799,0.313486181
42,2.159766254,2.316366977,1.105170918,1.768267051
43,1.284025417,1.733253018,1.698932309,3.254374203
44,1.698932309,1.954237321,2.270499838,2.181472265
45,1.8221188,1.993715533,1.896480879,1.336427488
46,1.246076731,1.491824698,0.644036421,1.11627807
47,2.117000017,2.410899706,2.270499838,2.013752707
48,1.733253018,0.869358235,1.27124915,1.349858808
49,2.117000017,1.733253018,1.105170918,0.453844795
50,1.521961556,1.599994193,1.476980794,0.418951549
51,0.826959134,1.138828383,0.923116346,1.27124915
52,0.339595526,0.980198673,1.349858808,3.15819291
53,1.138828383,1.363425114,2.159766254,0.980198673
54,1.447734615,2.270499838,1.803988415,2.559981418
55,1.506817785,1.491824698,1.061836547,0.631283646
56,2.225540928,1.27124915,2.410899706,0.70468809
57,1.447734615,0.852143789,2.13827622,0.382892886
58,1.010050167,0.289384218,2.225540928,0.467666427
59,0.690734331,1.363425114,1.786038431,0.670320046
60,1.323129812,1.665291195,2.745601015,0.951229425
61,1.072508181,0.718923733,1.02020134,0.19013898
62,0.70468809,1.161834243,1.083287068,0.58860497
63,1.768267051,1.733253018,1.447734615,1.010050167
64,1.094174284,1.23367806,1.476980794,0.582748252
65,2.13827622,1.11627807,3.004166024,0.886920437
66,2.247907987,1.336427488,1.083287068,1.858928042
67,1.63231622,1.993715533,1.173510871,1.7506725
68,1.447734615,2.484322533,0.886920437,2.270499838
69,1.462284589,1.896480879,1.221402758,1.648721271
70,2.637944459,1.954237321,1.083287068,1.934792334
71,3.781043388,2.117000017,2.29331874,2.718281828
72,2.559981418,2.075080608,1.390968128,2.50929039
73,3.221992639,2.075080608,1.786038431,2.316366977
74,3.421229536,2.075080608,1.323129812,2.159766254
75,2.9153795,2.117000017,1.7506725,2.29331874
76,2.159766254,2.117000017,1.491824698,2.247907987
77,3.525421487,2.13827622,1.973877732,2.247907987
78,1.138828383,2.054433211,1.02020134,3.743421377
79,0.718923733,3.221992639,0.923116346,2.691234472
80,0.17728441,2.559981418,0.571209064,2.637944459
