Plot ID,Tree ID,Direction,Diameter
1-1-C,3,S,1
1-1-C,3,S,2
1-1-C,3,S,5
1-1-T,1,S,3
1-1-T,1,S,3
1-1-T,1,S,3
1-1-T,1,S,4
1-1-T,1,S,5
1-1-T,1,S,8
1-1-T,1,S,10
1-1-T,1,S,10
1-1-T,1,N,5
1-1-T,1,N,3
1-1-T,1,N,3
1-1-T,1,N,5
1-1-T,1,N,5
1-1-T,1,N,6
1-1-T,1,N,5
1-1-T,1,N,6
1-1-T,1,N,3
1-1-T,1,N,6
1-1-T,1,N,6
1-1-T,1,N,5
1-1-T,1,N,5
1-1-T,1,N,3
1-1-T,1,N,6
1-1-T,1,N,10
1-1-T,1,N,5
1-1-T,1,N,7
1-1-T,1,N,6
1-1-T,1,N,5
1-1-T,1,N,9
1-1-T,1,N,5
1-1-T,1,N,5
1-1-T,2,S,7
1-1-T,2,S,6
1-1-T,2,S,7
1-1-T,2,S,3
1-1-T,2,S,3
1-1-T,2,S,16
1-1-T,2,S,3
1-1-T,2,S,3
1-1-T,2,S,1
1-1-T,2,S,1
1-1-T,2,S,3
1-1-T,2,S,3
1-1-T,2,S,6
1-1-T,2,S,7
1-1-T,2,S,7
1-1-T,2,S,6
1-1-T,2,S,5
1-1-T,2,N,12
1-1-T,2,N,16
1-1-T,2,N,12
1-1-T,2,N,6
1-1-T,2,N,6
1-1-T,2,N,8
1-1-T,2,N,6
1-1-T,2,N,6
1-1-T,2,N,10
1-1-T,2,N,16
1-1-T,2,N,9
1-1-T,2,N,10
1-1-T,2,N,15
1-1-T,3,S,4
1-1-T,3,S,4
1-1-T,3,S,3
1-1-T,3,S,7
1-1-T,3,S,6
1-1-T,3,S,7
1-1-T,3,N,5
1-1-T,3,N,7
1-1-T,3,N,17
1-1-T,3,N,6
1-1-T,3,N,4
2-1-T,1,N,6
2-1-T,1,N,7
2-1-T,1,N,3
2-1-T,1,N,6
2-1-T,1,N,4
2-1-T,2,S,5
2-1-T,2,S,4
2-1-T,2,S,4
2-1-T,2,S,4
2-1-T,2,S,2
2-1-T,2,S,6
2-1-T,2,N,7
2-1-T,2,N,2
2-1-T,2,N,11
2-1-T,2,N,4
2-1-T,2,N,5
2-1-T,2,N,3
2-1-T,2,N,7
2-1-T,2,N,6
2-1-T,2,N,6
2-1-T,2,N,4
2-1-T,2,N,5
2-1-T,2,N,3
2-1-T,2,N,3
2-1-T,2,N,5
2-1-T,2,N,8
2-1-T,2,N,2
2-1-T,2,N,8
2-1-T,2,N,6
2-1-T,2,N,4
2-1-T,2,N,2
2-1-T,2,N,2
2-1-T,3,S,23
2-1-T,3,S,7
2-1-T,3,S,3
2-1-T,3,S,3
2-1-T,3,S,4
2-1-T,3,S,7
2-1-T,3,S,10
2-1-T,3,S,4
2-1-T,3,S,6
2-1-T,3,S,11
2-1-T,3,S,6
2-1-T,3,S,4
2-1-T,3,S,5
2-1-T,3,S,4
2-1-T,3,S,3
2-1-T,3,S,10
2-1-T,3,S,4
2-1-T,3,S,11
2-1-T,3,S,4
